ID,ORIGINURI,UUIDHISTORY,OCCUPATIONGROUPCODE,CODE,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED,PREFERREDLABEL,ALTLABELS,DESCRIPTION,PREFERREDLABEL_SW,ALTLABELS_SW,DESCRIPTION_SW,DEFINITION_SW,SCOPENOTE_SW,HAS_DUPLICATE_ALTLABELS_SW,PREFERREDLABEL_NOT_IN_ALTLABELS_SW,POSSIBLY_TRUNCATED_SW
687671c0ebd2bf665349dd44,http://data.europa.eu/esco/occupation/42abcbcb-721b-4da6-9c06-f6951969d056,"5518c5d9-e155-491b-be63-971ddd3351f2
0f7310a9-d811-4240-a178-04e96b63d0e3
fbaeea54-c252-460d-af08-9603a07cb7cf
d4683786-56dc-4ebf-9b47-5770234aa3e0
b68b64ba-c2f8-4cc8-a253-70bd8a6b02ec",1324,1324.3.2.27,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,import export manager in perfume and cosmetics,"senior import export manager in perfume and cosmetics
graduate import export manager in perfume and cosmetics
assistant import export manager in perfume and cosmetics
assistant export manager in perfume and cosmetics
senior import manager in perfume and cosmetics
trainee import manager in perfume and cosmetics
international trade compliance manager in perfume and cosmetics
international trade manager in perfume and cosmetics
graduate export manager in perfume and cosmetics
senior export manager in perfume and cosmetics
import export manager in perfume and cosmetics
assistant import manager in perfume and cosmetics
graduate import manager in perfume and cosmetics
trainee import export manager in perfume and cosmetics
customs compliance manager in perfume and cosmetics
trainee export manager in perfume and cosmetics","Import export managers in perfume and cosmetics install and maintain procedures for cross-border business, coordinating internal and external parties.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dd45,http://data.europa.eu/esco/occupation/d9632b0a-3c95-4a8a-a15c-c5413beda52e,"786f4dad-9a28-47f6-bbc8-27156af90b8e
a340f6a4-55fd-4681-804f-eec92c1c7b18
b766f860-f8da-4a23-a77c-089b22cb0487
b4594cf7-9f65-40da-ad4b-5dae2f7f724a
1074ef39-305c-427b-beea-e3800844c4da",1324,1324.3.2.28,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,import export manager in pharmaceutical goods,"import export manager in pharmaceutical goods
customs compliance manager in pharmaceutical goods
senior import export manager in pharmaceutical goods
trainee import export manager in pharmaceutical goods
assistant export manager in pharmaceutical goods
graduate export manager in pharmaceutical goods
international trade manager in pharmaceutical goods
graduate import manager in pharmaceutical goods
trainee export manager in pharmaceutical goods
senior import manager in pharmaceutical goods
assistant import manager in pharmaceutical goods
trainee import manager in pharmaceutical goods
assistant import export manager in pharmaceutical goods
international trade compliance manager in pharmaceutical goods
senior export manager in pharmaceutical goods
graduate import export manager in pharmaceutical goods","Import export managers in pharmaceutical goods install and maintain procedures for cross-border business, coordinating internal and external parties.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dd46,http://data.europa.eu/esco/occupation/afcf9d03-6e51-4548-8cec-cfa50972929d,"d59159ee-c84b-4772-816e-5040723a1a94
ab7c76cf-52f7-436e-8f8d-d5e07dd21a4e
baa6875e-0c3f-4f30-b112-d7e748fc86d6
470a8856-8904-488b-96c3-db0af568de9e
febe39c8-3cf3-4606-b0b1-bb5a1a8fad7b",1324,1324.3.2.29,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,"import export manager in sugar, chocolate and sugar confectionery","graduate import manager in sugar, chocolate and sugar confectionery
assistant import export manager in sugar, chocolate and sugar confectionery
graduate import export manager in sugar, chocolate and sugar confectionery
graduate export manager in sugar, chocolate and sugar confectionery
import export manager in sugar, chocolate and sugar confectionery
senior export manager in sugar, chocolate and sugar confectionery
international trade manager in sugar, chocolate and sugar confectionery
assistant export manager in sugar, chocolate and sugar confectionery
assistant import manager in sugar, chocolate and sugar confectionery
customs compliance manager in sugar, chocolate and sugar confectionery
senior import export manager in sugar, chocolate and sugar confectionery
trainee import manager in sugar, chocolate and sugar confectionery
international trade compliance manager in sugar, chocolate and sugar confectionery
senior import manager in sugar, chocolate and sugar confectionery
trainee export manager in sugar, chocolate and sugar confectionery
trainee import export manager in sugar, chocolate and sugar confectionery","Import export managers in sugar, chocolate and sugar confectionery install and maintain procedures for cross-border business, coordinating internal and external parties.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dd47,http://data.europa.eu/esco/occupation/9faaae26-804d-48f3-97b0-84f7e1aceae8,"68481ebf-f32d-4dab-8060-1d58cc3b4658
7a13e86d-d674-4113-a4fb-d3dc697189f9
c47b9f93-8e42-48fd-829c-4cc4c218d18a
6bd3f772-be37-4cb1-9e50-3c9d027d0e7a
b5fbf5e1-cb7c-483a-9e3a-1a4f23bc9ea4",1324,1324.3.2.3,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,import export manager in beverages,"trainee import manager in beverages
senior import export manager in beverages
assistant import export manager in beverages
graduate import manager in beverages
trainee export manager in beverages
senior export manager in beverages
graduate export manager in beverages
assistant export manager in beverages
senior import manager in beverages
international trade compliance manager in beverages
customs compliance manager in beverages
assistant import manager in beverages
international trade manager in beverages
trainee import export manager in beverages
graduate import export manager in beverages
import export manager in beverages","Import export managers in beverages install and maintain procedures for cross-border business, coordinating internal and external parties.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dd48,http://data.europa.eu/esco/occupation/972ef593-89c3-468b-aad5-81bc575feb58,"ab015fcc-a0ad-4981-8ba9-05997a269c0f
3bc984bb-40b4-43cf-a0c9-940127632cca
39383628-9da8-4798-97b1-c7b57829090a
ffe36352-e48f-4c98-bf51-e6f9ca66ba1d
1ae10153-457d-4569-b832-2a2062f9ef0e",1324,1324.3.2.30,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,import export manager in textile industry machinery,"graduate import manager in textile industry machinery
senior import export manager in textile industry machinery
assistant export manager in textile industry machinery
import export manager in textile industry machinery
assistant import manager in textile industry machinery
senior import manager in textile industry machinery
trainee import manager in textile industry machinery
assistant import export manager in textile industry machinery
international trade compliance manager in textile industry machinery
senior export manager in textile industry machinery
international trade manager in textile industry machinery
trainee import export manager in textile industry machinery
customs compliance manager in textile industry machinery
graduate export manager in textile industry machinery
graduate import export manager in textile industry machinery
trainee export manager in textile industry machinery","Import export managers in textile industry machinery install and maintain procedures for cross-border business, coordinating internal and external parties.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dde9,http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,"b4c536f9-e4e7-462f-89c8-b4313217a5d5
e635e951-5e0a-43e7-9f49-6c4e17a0c3dd
a1f500e4-28c7-4746-8772-7845d8645278
b23dc040-0e0f-4683-b30d-8cfb8f50c6c7
272b51d4-a90f-4907-a727-a349e96ab2c6",2111,2111.3,,"Includes:
- people performing specialised activities within nuclear, molecular, optical physics, astrophysics, medical physics, economical physics and matter physics",http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,physicist,"Physicist Electronics
Physicists Nuclear
ballist physicist
biophysicist
forensic physicist
medical physicist
neurologist
nuclear physicist
petrophysicist
physicist
physics analyst
physics research scientist
physics researcher
physics scholar
physics science researcher
physics scientist","Physicists are scientists who study physical phenomena. They focus their research depending on their specialisation, which can range from atomic particle physics to the study of phenomena in the universe. They apply their findings for the improvement of society by contributing to the development of energy supplies, treatment of illness, game development, cutting-edge equipment, and daily use objects.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349ddea,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,"da59ed5a-c24e-4606-8d23-24a513499844
fd5e0b3c-566c-48fb-9473-5e6cd33abbb6
d1ce08c4-36b0-4a20-85d7-9dcd8b0f86c7
c9b275d0-a25f-474b-a561-b221d0674581
cb49d6c3-61f8-4cf6-a773-8af24673a26f",2112,2112.1,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,meteorologist,"atmospheric research scientist
meteorologist
atmospheric science researcher
atmospheric researcher
atmospheric analyst
meteorology research analyst
atmospheric scientist
marine meteorologist
meteorology research scientist
meteorology analyst
meteorology researcher
atmospheric research analyst
meteorology science researcher
meteorology scientist","Meteorologists study climate processes, measure and predict weather patterns and provide consultancy services to a variety of weather information users. They work out models for weather forecasting, develop instruments to collect meteorological data and compile statistics and databases.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349ddeb,http://data.europa.eu/esco/occupation/2960c96e-7228-4327-b0a1-85fc13691844,"abb4c028-8eff-4632-8086-0325c5e36095
1aa7b7f0-391e-4176-a02a-c11450a9ae34
533e400f-62b9-4266-8af9-4a004c7b0113
237496ca-d17a-4f09-b384-f2f0809b4967
54e3c17d-52cd-4143-8836-52ee9e7e5408",2112,2112.1.1,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,aviation meteorologist,"aviation meteorologist
aviation meteorological specialist
meteorologist
meteorological aviation inspector
air meteorologist
specialist in aviation meteorology
airline meteorologist
air navigation meteorologist
meteorological technician","Aviation meteorologists forecast weather conditions in airports. They provide day-to-day, hour-to-hour observations, analysis, forecasts, warnings, and advice to pilots, airport operators and airlines in meteorological matters. They report weather conditions expected at airports, current conditions, and en route forecasts.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349ddec,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,"2aaf5788-d73d-47bd-aea5-5281cf1878f4
64c4767a-f25a-41c7-8499-ed9c7e048049
d5e68c46-9878-4204-9468-094e6762cd79
0971ee55-3bbf-418a-962f-b13f5b2839b3
1b34e917-9e5b-42b2-b0dc-27d0f3837219",2112,2112.1.2,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,climatologist,"climate science researcher
climate research scientist
climatology analyst
climatologist
climatology researcher
climatology scientist
climate scholar
climatology scholar
climatologists
climate research analyst
climate scientist
climate researcher
climate analyst
climatology research analyst
climatology research scientist
climatology science researcher","Climatologists study the average change in weather and climate from a long-term perspective. They research and analyse historic weather conditions in order to forecast climatic conditions trends such as changes in temperature, global warming, or regional evolutive weather conditions. They use these findings for advising on environmental policy, construction, agricultural projects, and societal matters.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
687671c0ebd2bf665349dded,http://data.europa.eu/esco/occupation/0809ea8a-4f77-4351-a7f1-b9a7b99b6c0b,"76c86e96-0f4f-44ce-8ca0-8d69eab8aa6f
88f49867-ba85-4222-b2ea-4052de5f46e5
2e8db764-2bff-410c-a5c6-9b141ab58d6c
d43d7281-9509-40f3-9fe9-64411fe9ed05
333a74c7-167a-4c2e-8fb9-f20d69eee66a",2112,2112.1.3,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,weather forecaster,"weather forecast anchor
meteorology science researcher
media weather forecaster
senior weather forecaster
meteorology research analyst
weather anchor
meteorology scientist
meteorology analyst
numerical weather forecaster
on-line weather forecaster
meteorology researcher
weather presenter
operational weather forecaster
weather forecast presenter
weather forecasters
weather forecaster","Weather forecasters gather meteorological data. They predict the weather according to these data. Weather forecasters present these forecasts to the audience via radio, television or online.",BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,BATCH_SPLIT_ERROR,False,False,True
